Trial,Condition,Onset,Duration,ISI
1,3,10.00,3.00,4.77
2,1,17.77,3.00,7.32
3,2,28.10,3.00,6.03
4,4,37.13,3.00,5.20
5,1,45.33,3.00,4.04
6,4,52.37,3.00,6.31
7,3,61.68,3.00,2.69
8,2,67.37,3.00,4.92
9,3,75.29,3.00,4.45
10,1,82.74,3.00,2.13
11,3,87.88,3.00,2.04
12,2,92.91,3.00,2.87
13,2,98.78,3.00,2.56
14,4,104.35,3.00,2.59
15,4,109.93,3.00,3.53
16,3,116.46,3.00,4.43
17,1,123.88,3.00,3.10
18,1,129.99,3.00,4.77
19,3,137.76,3.00,2.01
20,3,142.77,3.00,5.74
21,1,151.52,3.00,2.30
22,1,156.82,3.00,4.22
23,2,164.03,3.00,4.80
24,1,171.83,3.00,2.54
25,2,177.37,3.00,6.43
26,4,186.80,3.00,2.01
27,4,191.81,3.00,5.55
28,3,200.36,3.00,2.16
29,1,205.52,3.00,2.35
30,1,210.87,3.00,3.71
31,3,217.58,3.00,3.74
32,3,224.32,3.00,2.95
33,2,230.27,3.00,3.72
34,3,236.99,3.00,6.32
35,1,246.32,3.00,7.85
36,4,257.16,3.00,4.67
37,2,264.84,3.00,3.33
38,2,271.17,3.00,4.88
39,4,279.05,3.00,3.55
40,1,285.60,3.00,3.31
41,1,291.91,3.00,3.38
42,4,298.29,3.00,2.01
43,3,303.30,3.00,4.41
44,3,310.71,3.00,2.21
45,4,315.92,3.00,6.84
46,2,325.77,3.00,4.82
47,4,333.59,3.00,3.02
48,1,339.61,3.00,5.04
49,3,347.65,3.00,4.82
50,3,355.47,3.00,2.97
51,3,361.44,3.00,2.78
52,1,367.22,3.00,4.18
53,4,374.40,3.00,3.31
54,2,380.71,3.00,2.86
55,2,386.56,3.00,4.85
56,1,394.42,3.00,2.46
57,2,399.88,3.00,6.09
58,4,408.98,3.00,2.58
59,4,414.55,3.00,3.35
60,4,420.90,3.00,5.08
61,2,428.98,3.00,5.38
62,4,437.36,3.00,2.71
63,4,443.07,3.00,5.04
64,3,451.11,3.00,3.38
65,3,457.49,3.00,4.24
66,1,464.73,3.00,2.30
67,2,470.03,3.00,2.83
68,1,475.86,3.00,3.37
69,4,482.23,3.00,3.71
70,2,488.94,3.00,2.36
71,2,494.30,3.00,2.36
72,2,499.66,3.00,4.28
73,4,506.94,3.00,2.60
74,4,512.54,3.00,2.58
75,1,518.12,3.00,7.81
76,3,528.93,3.00,3.82
77,1,535.75,3.00,4.43
78,3,543.18,3.00,4.51
79,2,550.68,3.00,4.50
80,2,558.19,3.00,16.00
